,artist,FR,GB,DE,IT,ES,BE
147,Artemas,1415846.0,2847202.0,4261891.0,1132441.0,452938.0,531484.0
148,Ashe,111527.0,267843.0,230772.0,0.0,0.0,46535.0
149,Ashh,375262.0,0.0,0.0,0.0,0.0,0.0
150,"Ashnikko, Arcane, League of Legends",88584.0,0.0,0.0,0.0,0.0,12325.0
151,Ateyaba,26940.0,0.0,0.0,0.0,0.0,0.0
152,Ava Max,3139172.0,4584091.0,8647723.0,2051719.0,764461.0,993187.0
153,Avicii,176742.0,2883372.0,488892.0,485444.0,170555.0,899170.0
154,"Avicii, Aloe Blacc",222360.0,1320436.0,1078733.0,381823.0,117346.0,237926.0
155,"Avicii, Rita Ora",299947.0,1102976.0,877792.0,244214.0,121356.0,106054.0
156,"Avicii, Sandro Cavazza",224087.0,398049.0,884555.0,383146.0,188337.0,148643.0
157,"Axel Marbeuf, Star Academy",73200.0,0.0,0.0,0.0,0.0,14382.0
158,Axwell /\ Ingrosso,517430.0,520419.0,3097571.0,868842.0,454051.0,218398.0
159,Aya Nakamura,13889773.0,0.0,304149.0,40822.0,347889.0,1111121.0
160,"Aya Nakamura, Dadju",19341.0,0.0,0.0,0.0,0.0,0.0
161,"Aya Nakamura, Damso",961896.0,0.0,0.0,0.0,0.0,78874.0
162,"Aya Nakamura, Jizo Djohn.P",134314.0,0.0,0.0,0.0,0.0,0.0
163,"Aya Nakamura, Kim",92277.0,0.0,0.0,0.0,0.0,0.0
164,"Aya Nakamura, Myke Towers",79345.0,0.0,0.0,0.0,429095.0,0.0
165,"Aya Nakamura, Niska",374884.0,0.0,0.0,0.0,0.0,5258.0
166,"Aya Nakamura, OBOY",117496.0,0.0,0.0,0.0,0.0,0.0
167,"Aya Nakamura, SDM",217609.0,0.0,0.0,0.0,0.0,10064.0
168,"Aya Nakamura, Stormzy",554648.0,0.0,0.0,0.0,0.0,35143.0
169,"Aya Nakamura, Tiakola",595415.0,0.0,0.0,0.0,0.0,14182.0
170,Ayra Starr,1419284.0,493721.0,76340.0,0.0,0.0,170064.0
171,BB Brunes,239133.0,0.0,0.0,0.0,0.0,0.0
172,"BENEE, Gus Dapperton",328365.0,668102.0,917736.0,283309.0,151573.0,163009.0
173,BENNETT,1372130.0,0.0,4855288.0,400527.0,748251.0,562214.0
174,BLACKPINK,186368.0,404312.0,468017.0,202968.0,144825.0,39710.0
175,"BLACKPINK, Selena Gomez",50475.0,74603.0,85855.0,0.0,39910.0,9017.0
176,"BMYE, Naza, KeBlack, Youssoupha, Hiro, Jaymax, DJ Myst",71683.0,0.0,0.0,0.0,0.0,0.0
177,BOLEMVN,145610.0,0.0,0.0,0.0,0.0,0.0
178,"BOLEMVN, Guy2Bezbar",675495.0,0.0,0.0,0.0,0.0,17748.0
179,"BOLEMVN, Jungeli",157126.0,0.0,0.0,0.0,0.0,0.0
180,"BOLEMVN, Koba LaD",457632.0,0.0,0.0,0.0,0.0,5374.0
181,"BOLEMVN, Maes",994519.0,0.0,0.0,0.0,0.0,20331.0
182,"BOLEMVN, RK",235006.0,0.0,0.0,0.0,0.0,0.0
183,BRVMSOO,26555.0,0.0,0.0,0.0,0.0,0.0
184,BTS,661341.0,1221928.0,1275457.0,667438.0,609729.0,242641.0
185,"BTS, Halsey",49873.0,221360.0,97055.0,43097.0,31017.0,20921.0
186,BU$HI,123697.0,0.0,0.0,0.0,0.0,7806.0
187,Bad Bunny,1784147.0,106953.0,996815.0,6621408.0,52446827.0,249955.0
188,"Bad Bunny, Drake",637186.0,471463.0,653580.0,828657.0,1543219.0,71919.0
189,"Bad Bunny, JHAYCO",1045992.0,0.0,366295.0,1002315.0,8473207.0,94111.0
190,Bakermat,1327193.0,0.0,345929.0,0.0,0.0,163794.0
191,"Banx & Ranx, Ella Eyre, Yxng Bane",103700.0,1086437.0,249421.0,0.0,0.0,9534.0
192,Barbara Pravi,64528.0,0.0,0.0,0.0,42909.0,37014.0
193,"Basada, Camden Cox",59810.0,0.0,0.0,0.0,0.0,0.0
194,Bazzi,173642.0,676329.0,581187.0,152661.0,122419.0,68536.0
195,"Bazzi, Camila Cabello",30119.0,307616.0,210731.0,0.0,111323.0,37678.0
196,Bebe Rexha,300138.0,509205.0,777772.0,73349.0,108093.0,95023.0
197,Bebew,106337.0,0.0,0.0,0.0,0.0,0.0
198,"Becky G, NATTI NATASHA",29367.0,0.0,165792.0,282351.0,2696797.0,11677.0
199,"Becky G, Omega",878681.0,0.0,0.0,0.0,1032404.0,76304.0
200,Bee Gees,35676.0,149382.0,0.0,0.0,0.0,12098.0
201,Beendo Z,1815123.0,0.0,0.0,0.0,0.0,41024.0
