,artistName,artistId,genres,follower,popularity,famille_musicale
2632,Alejo,50sIhX3HytFEwQXZJLUZQE,"['reggaeton', 'urbano latino']",222133.0,64.0,Reggae/World
2633,ROBI,6ISKc7ev3V4EGnEagkXexc,['urbano latino'],50978.0,57.0,Reggae/World
2634,FERNANDOCOSTA,5dC7EcwWdf9Qj4VvJab4rZ,[],408216.0,60.0,No Genre
2635,Pablo Mas,2f6TzIGIIxEuwp6o7kEbhy,['dembow'],8546.0,56.0,Autre
2636,Miky Woodz,1pf0MPKfKdvS8J779mS1Ay,"['trap latino', 'dembow', 'reggaeton', 'trap']",4458286.0,71.0,Hip-Hop
2637,SFDK,56n1NeXsTOOxjX3Z4lVMTJ,[],724636.0,61.0,No Genre
2638,pehmoaino,4Qk8DhjJRW0Dwd039aVOfr,"['finnish pop', 'finnish hip hop']",49105.0,54.0,Pop
2639,SMC Lähiörotat,2Aqq0gyr7lRZ8vmPlW4MhB,['finnish hip hop'],15634.0,36.0,Hip-Hop
2640,T Swoop,3XB4IVNkzpc80d9qmthhl3,"['finnish hip hop', 'finnish pop']",4450.0,37.0,Hip-Hop
2641,Blacflaco,7pRRxojl7QoW1M7s4Zhxo4,"['finnish hip hop', 'finnish pop']",45757.0,47.0,Hip-Hop
2642,NCO,3HULha4gmb5YjZHWODEXu1,['finnish hip hop'],3357.0,29.0,Hip-Hop
2643,Maustetytöt,7JHNSkrbx2b0w8psFeVE4I,"['finnish pop', 'finnish rock', 'iskelmä']",36822.0,41.0,Pop
2644,Pariisin Kevät,2Bj3YsSKo7O5bj3Ku6z1Ny,"['finnish pop', 'finnish rock', 'iskelmä']",78045.0,43.0,Pop
2645,Agents,4plbeQ7a5US1Vq8OG5YDcN,"['iskelmä', 'finnish pop', 'finnish rock']",12708.0,38.0,Pop
2646,KIKI,5zod5X1F6ZTshIfpg2vVAF,"['finnish pop', 'finnish hip hop', 'iskelmä']",4191.0,42.0,Pop
2647,Ollie,4e9ntSageEujJboJQBXtCd,"['finnish pop', 'iskelmä']",10123.0,39.0,Pop
2648,LEWIZKI,4tjhuszE3yXNuiqxrdXwJ1,['finnish hip hop'],70.0,12.0,Hip-Hop
2649,Elley Duhé,67MNhiAICFY6Pwc2YxCO0K,[],629565.0,73.0,No Genre
2650,Lesram,0UeKDbiaApyP7qKfcmGN03,[],53662.0,49.0,No Genre
2651,Lyna Mahyem,0Yj3N31EWXHc6e3eDyJPLP,['pop urbaine'],825343.0,53.0,Pop
2652,Nessbeal,6IYoNcihnYWgtCHRTLxk7H,[],175234.0,44.0,No Genre
2653,YV,5A7HNCq6t0xNDOjZIUZDRk,"['uk drill', 'drill']",13640.0,47.0,Autre
2654,RIDSA,4TGltjqP0MQxdGeSIrM4es,"['french pop', 'pop urbaine', 'chanson']",646121.0,57.0,Pop
2655,Gambino La MG,2xdTZfuOFh2ylOnnTEs5sg,[],238327.0,50.0,No Genre
